Problem,Algorithm,Mean,Std
Pressure Vessel Design,GBFAO-v4,5871.18875456482,1.9584063436552057
Pressure Vessel Design,GBFAO-v3,5873.717314101117,6.590734934863344
Pressure Vessel Design,GBFAO-v2,5871.273164279966,3.1394343299998266
Pressure Vessel Design,GBFAO-v1,5870.123976649656,2.1165851955719452e-08
Pressure Vessel Design,ARO,6013.9785779353715,429.0748810365717
Pressure Vessel Design,PSO,6223.142945815529,551.9970403597
Pressure Vessel Design,GWO,17373.77878596441,8531.772232087029
Pressure Vessel Design,WOA,7314.987673327999,805.5155401655578
Pressure Vessel Design,DE,5870.123976642598,4.067383956680332e-13
Pressure Vessel Design,SMA,6144.578993380025,487.71656680807916
Pressure Vessel Design,HHO,6743.139780747495,381.8079674439401
Pressure Vessel Design,AO,6485.806695318256,455.5634302011111
Tension/Compression Spring,GBFAO-v4,0.012713724482425248,3.927279203685917e-05
Tension/Compression Spring,GBFAO-v3,0.0127077326255978,2.175201814144442e-05
Tension/Compression Spring,GBFAO-v2,0.01271757134552028,1.7655604985498526e-05
Tension/Compression Spring,GBFAO-v1,0.012705988886400659,1.8221165614195657e-05
Tension/Compression Spring,ARO,0.012742652193358203,0.00015100421695756999
Tension/Compression Spring,PSO,0.013478100511296831,0.0014770410005271867
Tension/Compression Spring,GWO,0.03593404798102051,0.014228265112124062
Tension/Compression Spring,WOA,0.013815536812900101,0.0007788203088126113
Tension/Compression Spring,DE,0.012665232610815397,1.4513737894400392e-18
Tension/Compression Spring,SMA,0.01342057929756776,0.0007028709264826538
Tension/Compression Spring,HHO,0.013899379781756694,0.0011407516505342918
Tension/Compression Spring,AO,0.013060678357699229,0.00046210759018353124
Welded Beam Design,GBFAO-v4,1.8666480259386655,0.005530946631251296
Welded Beam Design,GBFAO-v3,1.8645666809368353,0.0025376481206709476
Welded Beam Design,GBFAO-v2,1.864284048988549,0.003258246560100904
Welded Beam Design,GBFAO-v1,1.8616436698806944,9.666297208375068e-11
Welded Beam Design,ARO,1.8616436698045202,1.1921437999816807e-10
Welded Beam Design,PSO,1.8616436701885952,5.513443416341856e-10
Welded Beam Design,GWO,125.51568791627119,366.07192747095627
Welded Beam Design,WOA,2.8128588364985294,1.1534444539889344
Welded Beam Design,DE,1.8616436697273933,3.510833468576701e-16
Welded Beam Design,SMA,1.86307243178122,0.002670273235728165
Welded Beam Design,HHO,2.136551557256412,0.15655086349782293
Welded Beam Design,AO,2.0507111272325953,0.2344661660521408
Speed Reducer,GBFAO-v4,2993.869382796267,4.547473508864641e-13
Speed Reducer,GBFAO-v3,2993.869382796268,1.8969015959204816e-12
Speed Reducer,GBFAO-v2,2993.869382796267,4.547473508864641e-13
Speed Reducer,GBFAO-v1,2993.869382796266,3.8046893065896964e-13
Speed Reducer,ARO,2998.777693482635,11.942402523348889
Speed Reducer,PSO,3035.1615786195557,50.255542634716015
Speed Reducer,GWO,19635.33316715463,20209.330675625377
Speed Reducer,WOA,3032.824933049687,47.54093615862346
Speed Reducer,DE,2993.869382796266,2.490753820462333e-13
Speed Reducer,SMA,2993.8718059686066,0.004302359285880492
Speed Reducer,HHO,3224.338236142644,285.58822296635907
Speed Reducer,AO,2994.51268770247,0.8838254340430626
Three-Bar Truss,GBFAO-v4,100.1407963718617,0.0
Three-Bar Truss,GBFAO-v3,100.14089973059399,0.0002873752455804584
Three-Bar Truss,GBFAO-v2,100.14081471872015,5.503756646348786e-05
Three-Bar Truss,GBFAO-v1,100.1407963718617,0.0
Three-Bar Truss,ARO,100.24022881029074,0.0650938108050258
Three-Bar Truss,PSO,100.24022881029076,0.0650938108050258
Three-Bar Truss,GWO,115.87879555120665,6.317581378502799
Three-Bar Truss,WOA,100.1407963718626,1.2697380795226254e-12
Three-Bar Truss,DE,100.26863807841332,0.04261390218388073
Three-Bar Truss,SMA,100.14079637186171,1.1889654083092801e-14
Three-Bar Truss,HHO,100.1407963718617,0.0
Three-Bar Truss,AO,100.14307083728895,0.0036892633483023717
